feature,dtype,missing_count,missing_pct,mean,median,std,min,max,unique,p1,p99,outliers_count,top,categories
crclscod,object,0,0.0,,,,,,54,,,,AA,"{'AA': 36509, 'A': 16996, 'BA': 12667, 'CA': 8334, 'EA': 6419, 'B': 4110, 'DA': 3669, 'ZA': 3493, 'C': 1456, 'A2': 861, 'E4': 833, 'U': 480, 'E': 339, 'D4': 301, 'GA': 281, 'Z4': 253, 'D': 247, 'I': 243, 'G': 241, 'JF': 194, 'Z': 191, 'J': 190, 'CY': 190, 'C2': 180, 'M': 169, 'ZY': 119, 'D5': 114, 'B2': 109, 'K': 106, 'W': 97, 'C5': 81, 'V1': 70, 'U1': 66, 'EM': 57, 'Z5': 56, 'Y': 54, 'EC': 48, 'GY': 34, 'O': 25, 'CC': 25, 'E2': 21, 'IF': 14, 'Z1': 12, 'H': 9, 'L': 6, 'P1': 6, 'D2': 5, 'TP': 5, 'Z2': 5, 'EF': 4, 'A3': 3, 'S': 1, 'V': 1, 'ZF': 1}"
creditcd,object,1732,0.01732,,,,,,2,,,,Y,"{'Y': 67234, 'N': 31034}"
dualband,object,1,1e-05,,,,,,4,,,,Y,"{'Y': 72265, 'N': 23196, 'T': 4316, 'U': 222}"
ethnic,object,1732,0.01732,,,,,,17,,,,N,"{'N': 33389, 'H': 13623, 'S': 12747, 'U': 10945, 'G': 5914, 'Z': 4425, 'O': 4198, 'I': 3811, 'J': 2838, 'F': 2127, 'B': 1374, 'R': 1046, 'D': 866, 'P': 486, 'C': 244, 'M': 149, 'X': 86}"
hnd_price,float64,847,0.00847,,,,,,17,,,,149.9899902,"{'149.9899902': 22035, '29.98999023': 21737, '129.9899902': 13413, '199.9899902': 10249, '79.98999023': 9566, '59.98999023': 8691, '99.98999023': 7733, '9.989997864': 4357, '39.98999023': 657, '249.9899902': 244, '399.9899902': 191, '299.9899902': 93, '179.9899902': 79, '499.9899902': 63, '239.9899902': 42, '159.9899902': 2, '119.9899902': 1}"
hnd_webcap,object,10189,0.10189,,,,,,3,,,,WCMB,"{'WCMB': 75733, 'WC': 13843, 'UNKW': 235}"
income,float64,25436,0.25436,,,,,,9,,,,6.0,"{'6.0': 18802, '7.0': 11597, '9.0': 10833, '5.0': 8277, '4.0': 7790, '3.0': 5830, '8.0': 5142, '1.0': 4033, '2.0': 2260}"
lor,float64,30190,0.3019,,,,,,16,,,,1.0,"{'1.0': 10016, '2.0': 8985, '15.0': 8177, '3.0': 5849, '4.0': 5409, '5.0': 4928, '6.0': 4485, '7.0': 4269, '8.0': 3632, '9.0': 2979, '10.0': 2330, '0.0': 2193, '11.0': 1982, '12.0': 1703, '13.0': 1651, '14.0': 1222}"
marital,object,1732,0.01732,,,,,,5,,,,U,"{'U': 37333, 'M': 31052, 'S': 17627, 'B': 7116, 'A': 5140}"
models,float64,1,1e-05,,,,,,14,,,,1.0,"{'1.0': 63273, '2.0': 25041, '3.0': 7822, '4.0': 2472, '5.0': 852, '6.0': 330, '7.0': 117, '8.0': 50, '9.0': 25, '10.0': 11, '11.0': 3, '15.0': 1, '14.0': 1, '16.0': 1}"
new_cell,object,0,0.0,,,,,,3,,,,U,"{'U': 66914, 'Y': 19301, 'N': 13785}"
prizm_social_one,object,7388,0.07388,,,,,,5,,,,S,"{'S': 32097, 'U': 23613, 'C': 17018, 'T': 14989, 'R': 4895}"
refurb_new,object,1,1e-05,,,,,,2,,,,N,"{'N': 85593, 'R': 14406}"
uniqsubs,int64,0,0.0,,,,,,15,,,,1,"{'1': 61966, '2': 27556, '3': 6579, '4': 2556, '5': 835, '6': 315, '7': 111, '8': 40, '9': 20, '10': 9, '11': 5, '12': 4, '13': 2, '18': 1, '196': 1}"
churn,int64,0,0.0,,,,,,2,,,,0,"{'0': 50438, '1': 49562}"
