months,eqpdays,change_mou,mou_mean,totmrc_mean,hnd_price,avgqty,crclscod,uniqsubs,avgrev,cluster,churn
12,342.0,-410.25,461.25,44.9925,149.9899902,348.55,,1,64.39,2,0
14,121.0,-147.75,1221.75,59.99,79.98999023,250.15,,1,83.38,2,0
21,642.0,-482.0,1784.0,62.7275,79.98999023,151.95,,2,73.51,2,1
24,244.0,-72.0,205.0,49.99,9.989997864,101.43,,1,36.19,0,1
33,987.0,-51.0,581.0,34.98,29.98999023,135.61,,1,47.88,0,1
14,13.0,-174.5,489.5,39.99,99.98999023,454.15,,2,48.66,2,1
20,614.0,37.0,43.0,30.0,29.98999023,23.32,,1,30.23,0,1
7,195.0,224.5,576.5,89.99,129.9899902,115.67,,1,69.43,0,0
38,1143.0,24.5,355.5,29.99,29.98999023,73.44,,1,34.67,0,1
12,348.0,-26.0,186.0,29.99,149.9899902,94.45,,1,149.05,0,1
11,238.0,13.75,352.25,44.99,79.98999023,154.8,,4,52.13,0,1
29,513.0,33.75,1701.25,84.99,129.9899902,444.21,,1,72.9,2,0
12,338.0,-247.75,566.75,44.99,59.98999023,112.55,,1,68.58,0,1
19,586.0,23.75,211.25,29.99,29.98999023,78.06,,1,40.33,0,0
21,609.0,-516.25,1433.25,52.49,149.9899902,249.37,,2,75.12,2,0
22,663.0,105.0,216.0,44.99,79.98999023,84.41,,1,42.75,0,1
13,409.0,238.25,361.75,29.99,199.9899902,201.0,,1,49.83,0,1
12,364.0,134.75,195.25,10.0,59.98999023,66.0,,2,22.92,0,0
23,699.0,-249.25,362.25,44.3725,29.98999023,222.27,,2,55.05,0,1
22,659.0,-15.25,163.25,50.07,29.98999023,77.45,,1,44.23,0,0
28,852.0,0.0,0.0,5.0,9.989997864,179.5,,1,43.81,0,1
26,779.0,0.0,0.0,0.0,29.98999023,58.95,,1,103.64,0,1
11,325.0,-55.75,148.75,29.99,129.9899902,66.8,,1,29.14,0,0
36,214.0,-51.75,1296.75,75.0,79.98999023,554.18,,2,103.57,2,1
26,778.0,92.25,314.75,39.99,29.98999023,178.36,,2,40.06,0,0
35,896.0,-23.75,38.75,16.99,29.98999023,57.13,,2,52.61,0,0
18,527.0,16.5,568.5,25.075,79.98999023,95.06,,1,63.33,0,1
26,644.0,0.0,0.0,10.0,79.98999023,34.32,,4,24.34,0,1
26,243.0,-22.5,546.5,59.99,149.9899902,184.96,,1,60.31,0,0
12,78.0,-138.5,636.5,54.905,149.9899902,144.82,,1,44.39,0,0
20,615.0,-14.25,106.25,39.265,59.98999023,44.0,,2,45.23,0,0
11,290.0,-338.75,592.75,39.99,29.98999023,200.2,,1,56.5,2,0
13,392.0,-68.5,134.5,59.99,29.98999023,41.83,,2,52.66,0,0
37,64.0,130.0,778.0,40.0,29.98999023,319.44,,1,37.47,0,1
10,126.0,-253.75,1391.75,84.99,29.98999023,404.63,,1,130.62,2,0
11,320.0,18.75,110.25,39.99,59.98999023,41.89,,1,26.1,0,1
9,262.0,88.0,801.0,44.99,149.9899902,196.0,,1,50.82,0,0
13,96.0,-245.25,698.25,25.86,129.9899902,287.45,,1,85.13,2,1
19,419.0,15.5,35.5,32.49,149.9899902,26.0,,2,34.52,0,0
12,361.0,-172.25,213.25,27.6675,29.98999023,59.9,,2,37.36,0,0
11,320.0,-88.75,186.75,69.99,149.9899902,115.67,,2,56.03,0,1
7,220.0,229.5,1643.5,89.99,129.9899902,548.17,,1,82.76,2,0
19,552.0,-204.5,204.5,18.3325,149.9899902,102.61,,1,58.23,0,0
9,284.0,201.75,346.25,10.0,59.98999023,78.38,,2,28.34,0,0
20,598.0,24.75,55.25,29.99,29.98999023,62.44,,1,30.26,0,1
8,4.0,-11.5,691.5,43.78,0.0,163.0,,2,40.95,0,0
24,724.0,-0.5,90.5,29.99,79.98999023,43.39,,1,32.19,0,1
33,337.0,161.0,762.0,70.0,199.9899902,212.23,,1,75.95,0,0
9,288.0,-12.75,1996.75,106.2375,149.9899902,394.63,,1,111.36,2,0
49,203.0,0.0,0.0,0.0,129.9899902,562.96,,2,83.28,0,1
11,334.0,42.25,575.75,69.99,149.9899902,77.9,,1,51.35,0,0
10,296.0,-17.0,471.0,39.99,129.9899902,74.33,,1,31.45,0,1
23,125.0,-226.0,789.0,59.99,129.9899902,133.77,,1,58.99,0,1
12,362.0,42.0,33.0,104.99,149.9899902,12.45,,5,103.7,0,1
15,452.0,-271.5,271.5,49.99,29.98999023,97.71,,3,43.07,0,1
17,522.0,-473.75,699.75,49.99,29.98999023,187.13,,3,58.43,2,1
13,369.0,-21.75,172.75,39.99,59.98999023,62.83,,1,40.17,0,1
11,219.0,369.5,945.5,39.99,129.9899902,148.1,,3,50.17,0,1
39,28.0,7.25,149.75,50.0,0.0,105.63,,3,51.39,0,0
11,320.0,-24.75,876.75,44.99,59.98999023,326.0,,2,40.76,0,1
9,271.0,138.5,414.5,10.0,129.9899902,189.63,,2,18.62,0,1
11,328.0,257.75,771.25,69.99,29.98999023,170.4,,2,84.92,0,1
15,355.0,-35.75,1492.75,69.99,29.98999023,865.15,,3,166.27,2,1
19,562.0,37.0,302.0,44.99,79.98999023,174.89,,1,43.82,0,0
18,545.0,-26.0,245.0,39.99,149.9899902,55.59,,1,30.52,0,1
13,374.0,-15.0,127.0,10.0,149.9899902,74.92,,2,10.08,0,0
14,436.0,-204.5,484.5,49.99,149.9899902,179.85,,1,82.74,0,1
7,197.0,-71.5,298.5,49.99,199.9899902,109.83,,1,44.7,0,1
27,489.0,-220.0,734.0,34.98,39.98999023,298.0,,1,60.94,0,0
10,318.0,10.75,868.25,44.99,29.98999023,134.33,,1,48.67,0,0
7,217.0,-147.0,147.0,40.1375,9.989997864,151.17,,1,32.71,0,0
12,344.0,229.25,655.75,59.99,99.98999023,126.82,,1,52.54,0,1
12,359.0,-53.5,795.5,59.99,29.98999023,135.82,,1,52.12,0,0
21,615.0,-42.75,84.75,69.99,29.98999023,39.95,,3,48.42,0,0
21,622.0,63.5,92.5,29.99,149.9899902,172.7,,1,61.57,0,1
15,459.0,-106.0,107.0,29.99,149.9899902,48.29,,1,50.79,0,1
28,833.0,31.25,98.75,29.99,29.98999023,25.62,,2,33.59,0,1
10,29.0,524.0,561.0,47.49,129.9899902,189.89,,2,97.99,0,1
15,453.0,-322.75,324.75,30.0,9.989997864,78.71,,3,30.41,0,1
9,274.0,359.75,300.25,54.99,149.9899902,72.63,,1,41.18,0,1
8,257.0,2075.25,2493.75,108.21,59.98999023,403.67,,1,116.1,0,0
9,253.0,-79.0,1539.0,64.99,149.9899902,450.88,,1,91.29,2,0
11,19.0,-26.75,830.75,38.0375,149.9899902,293.8,,1,44.73,0,0
12,16.0,44.0,369.0,50.49,129.9899902,168.8,,1,49.32,0,0
18,546.0,-65.0,407.0,30.0,149.9899902,136.18,,1,48.21,0,0
15,458.0,-57.75,329.75,37.4925,149.9899902,131.71,,1,59.54,0,0
18,349.0,31.5,467.5,32.49,59.98999023,124.35,,2,43.76,0,0
23,187.0,215.0,603.0,48.9425,149.9899902,229.38,,1,77.92,0,0
23,349.0,-32.75,99.75,27.3225,59.98999023,66.71,,2,41.77,0,1
31,953.0,-61.0,73.0,16.99,29.98999023,16.03,,2,26.6,0,1
34,465.0,149.0,275.0,44.99,9.989997864,164.44,,1,45.88,0,0
7,203.0,-393.0,1006.0,21.0375,149.9899902,433.83,,4,50.67,2,0
6,193.0,0.0,0.0,50.75,149.9899902,41.8,,2,51.61,0,1
17,510.0,386.75,1749.25,85.0,79.98999023,371.19,,2,90.66,0,1
18,533.0,138.5,595.5,44.99,149.9899902,65.81,,1,35.68,0,1
8,44.0,-24.0,459.0,54.99,149.9899902,198.43,,1,70.59,0,0
10,182.0,-103.5,555.5,59.99,29.98999023,131.56,,2,55.51,0,1
13,371.0,-12.75,14.75,10.0,29.98999023,3.82,,5,10.18,0,1
10,300.0,-75.25,302.25,59.99,199.9899902,162.89,,3,54.19,0,0
36,1103.0,-87.25,318.25,30.0,29.98999023,75.71,,1,40.2,0,1
13,397.0,467.75,1480.25,74.505,149.9899902,188.67,,1,73.86,0,1
13,369.0,-114.5,723.5,44.99,149.9899902,165.67,,1,33.8,0,0
12,351.0,571.25,1066.75,84.99,149.9899902,403.18,,1,94.41,0,0
19,80.0,173.5,601.5,44.91,129.9899902,130.94,,1,62.29,0,0
27,107.0,-199.75,962.75,44.9925,199.9899902,289.0,,1,150.75,2,1
13,377.0,-283.25,283.25,25.3975,149.9899902,153.5,,1,42.19,0,1
46,765.0,-86.0,106.0,16.99,29.98999023,49.91,,1,25.74,0,0
14,416.0,-0.75,0.75,10.0,199.9899902,8.54,,2,12.85,0,1
27,374.0,-17.5,258.5,59.99,29.98999023,192.5,,2,56.33,0,0
20,382.0,-4.75,48.75,10.0,79.98999023,27.61,,4,18.84,0,1
7,110.0,145.5,981.5,84.99,29.98999023,387.17,,3,75.7,0,0
11,331.0,-185.25,654.25,104.99,149.9899902,235.7,,1,105.07,2,1
38,412.0,14.75,90.25,44.985,99.98999023,82.89,,3,37.07,0,1
37,1126.0,10.0,296.0,30.0,29.98999023,88.8,,1,37.28,0,0
8,253.0,18.0,252.0,44.87,149.9899902,83.43,,1,50.26,0,0
11,283.0,-5.5,590.5,44.99,29.98999023,225.0,,2,56.89,0,0
19,583.0,-57.25,127.25,30.0,29.98999023,54.56,,1,31.88,0,0
13,373.0,-7.75,276.75,39.99,129.9899902,100.75,,1,30.67,0,1
12,353.0,164.75,466.25,44.99,149.9899902,74.73,,1,39.58,0,0
15,462.0,-1.5,491.5,29.99,199.9899902,131.43,,1,31.25,0,1
13,374.0,-80.25,496.25,44.99,129.9899902,150.08,,1,39.25,0,0
6,195.0,-342.75,599.75,57.04,79.98999023,306.2,,1,74.54,2,0
12,346.0,556.0,917.0,59.99,79.98999023,533.55,,1,96.31,0,1
7,197.0,-187.75,187.75,44.9925,129.9899902,41.0,,2,50.16,0,1
11,310.0,63.75,345.25,44.99,149.9899902,86.0,,1,35.6,0,1
10,314.0,7.25,641.75,44.99,149.9899902,188.78,,1,57.21,0,0
34,435.0,-36.5,76.5,49.99,79.98999023,58.75,,1,53.55,0,1
23,276.0,2.75,195.25,44.99,39.98999023,113.36,,1,37.61,0,1
8,45.0,462.75,2263.25,98.325,99.98999023,267.57,,1,143.33,2,0
17,495.0,-240.75,627.75,49.99,29.98999023,140.75,,2,51.67,0,1
11,327.0,47.25,2060.75,69.99,59.98999023,329.2,,1,181.27,2,0
20,598.0,84.25,578.75,32.49,59.98999023,206.56,,2,60.73,0,0
49,670.0,4.75,26.25,30.0,9.989997864,529.06,,1,78.12,0,0
12,361.0,-43.5,43.5,13.8675,199.9899902,67.09,,1,28.92,0,0
19,564.0,-2.25,40.25,32.49,79.98999023,13.18,,2,33.28,0,0
11,343.0,436.25,555.75,39.99,79.98999023,253.2,,2,41.21,0,1
12,21.0,-45.5,174.5,42.53,99.98999023,119.18,,1,51.11,0,0
7,201.0,113.25,908.75,59.99,129.9899902,316.33,,1,53.99,0,0
36,364.0,185.25,522.75,69.99,59.98999023,118.94,,2,55.44,0,0
14,398.0,677.0,653.0,39.99,59.98999023,115.92,,2,54.43,0,0
9,275.0,89.5,243.5,41.78,149.9899902,79.13,,1,30.09,0,0
8,220.0,49.75,107.25,44.99,129.9899902,61.14,,1,39.37,0,0
7,7.0,1113.25,1721.75,59.99,129.9899902,469.2,,1,122.9,0,1
20,578.0,-241.0,456.0,59.99,149.9899902,249.0,,1,73.63,2,1
7,141.0,598.5,1493.5,59.99,129.9899902,279.33,,2,82.48,0,0
24,434.0,-35.25,163.25,30.0,199.9899902,213.35,,2,63.75,0,0
15,457.0,1.25,330.75,49.99,199.9899902,138.86,,2,54.98,0,1
22,655.0,85.25,350.75,75.0,29.98999023,184.0,,1,79.9,0,1
50,331.0,273.5,1513.5,80.0,129.9899902,769.62,,2,90.24,2,0
50,681.0,3.0,10.0,29.99,9.989997864,34.69,,1,28.19,0,0
13,374.0,111.75,37.25,44.99,29.98999023,109.92,,2,41.77,0,0
16,467.0,21.25,23.75,39.99,149.9899902,6.87,,1,26.89,0,1
7,205.0,-163.25,360.25,52.7,79.98999023,247.5,,1,58.19,0,0
10,317.0,-262.5,821.5,42.99,149.9899902,248.22,,1,52.87,2,1
13,130.0,20.0,491.0,49.99,99.98999023,171.83,,1,54.42,0,0
17,513.0,93.75,77.25,59.99,9.989997864,23.13,,2,50.84,0,0
14,431.0,-345.5,1678.5,63.1375,199.9899902,520.15,,1,166.16,2,1
7,197.0,70.25,762.75,119.99,149.9899902,173.6,,5,119.98,2,1
15,107.0,-166.0,509.0,44.99,129.9899902,170.14,,2,63.74,0,1
16,492.0,79.0,2823.0,219.99,199.9899902,657.07,,1,308.27,2,1
7,216.0,-29.5,181.5,15.0025,29.98999023,93.5,,1,61.75,0,1
16,483.0,2.25,13.75,39.99,199.9899902,21.2,,2,34.24,0,1
17,524.0,-1.5,124.5,32.49,79.98999023,79.0,,2,37.07,0,1
35,76.0,464.25,805.75,84.99,99.98999023,216.65,,2,84.25,0,1
21,628.0,230.0,149.0,30.0,59.98999023,60.15,,2,37.65,0,0
12,356.0,-186.75,1587.75,69.99,129.9899902,771.64,,1,66.88,2,1
17,526.0,-70.0,294.0,45.0,59.98999023,78.63,,2,48.02,0,0
19,472.0,-24.0,874.0,48.9425,39.98999023,216.65,,1,58.97,0,0
24,736.0,12.5,145.5,34.98,29.98999023,199.05,,2,48.35,0,0
6,70.0,339.5,1388.5,69.4075,99.98999023,705.8,,1,150.24,2,0
24,725.0,7.5,112.5,30.0,59.98999023,22.41,,2,34.86,0,1
14,128.0,-901.5,1672.5,75.0,149.9899902,511.17,,1,112.15,2,1
10,292.0,-101.5,581.5,59.99,149.9899902,224.75,,3,56.68,0,0
14,425.0,39.25,236.75,59.99,79.98999023,53.15,,2,50.41,0,0
7,205.0,240.75,853.25,59.99,149.9899902,357.5,,1,162.82,2,1
16,90.0,285.0,975.0,39.905,99.98999023,270.73,,2,60.1,0,0
17,102.0,-21.5,211.5,40.0,59.98999023,16.25,,1,32.79,0,0
8,188.0,196.75,1080.25,49.99,129.9899902,127.29,,1,69.06,0,0
33,619.0,188.25,248.75,50.0,39.98999023,204.19,,1,60.42,0,0
22,315.0,-185.0,458.0,44.99,149.9899902,363.1,,1,66.04,2,1
10,143.0,17.5,803.5,59.99,129.9899902,530.33,,1,91.68,2,1
11,309.0,87.25,510.75,44.99,99.98999023,167.3,,3,50.4,0,1
12,86.0,-169.25,2011.25,81.2825,99.98999023,649.27,,1,149.07,2,0
17,403.0,-11.5,67.5,30.0,99.98999023,42.88,,2,30.66,0,0
14,389.0,161.0,381.0,44.99,79.98999023,115.83,,1,40.28,0,1
24,741.0,90.75,381.25,44.99,29.98999023,155.17,,1,36.77,0,0
39,123.0,253.0,749.0,44.99,99.98999023,98.33,,2,41.92,0,1
19,31.0,-741.5,2245.5,84.99,99.98999023,527.44,,1,100.08,2,0
19,575.0,-19.75,556.75,54.99,79.98999023,102.67,,1,65.95,0,0
14,215.0,-103.5,333.5,29.99,99.98999023,172.54,,1,53.87,0,1
30,909.0,-0.5,64.5,32.49,29.98999023,14.11,,2,34.33,0,0
31,108.0,-175.0,257.0,21.7675,99.98999023,170.24,,1,49.99,0,0
15,446.0,7.25,203.75,39.99,29.98999023,106.0,,1,31.17,0,0
28,340.0,-83.25,296.25,61.98,29.98999023,169.11,,2,64.78,0,1
12,360.0,-229.0,269.0,10.0,199.9899902,29.8,,2,11.3,0,1
12,363.0,-126.75,256.75,29.99,149.9899902,80.27,,1,52.01,0,1
19,563.0,-103.5,128.5,29.99,149.9899902,60.78,,1,28.33,0,1
18,545.0,63.5,49.5,34.98,29.98999023,27.65,,1,35.16,0,0
50,1505.0,14.0,13.0,24.9,29.98999023,14.5,,1,26.0,0,0
23,335.0,-113.75,164.75,29.99,99.98999023,40.68,,1,34.01,0,1
19,589.0,50.75,396.25,49.9975,29.98999023,76.83,,1,55.6,0,0
23,638.0,-52.0,262.0,32.49,29.98999023,62.76,,2,36.62,0,0
36,689.0,-29.0,495.0,94.99,59.98999023,193.97,,2,62.14,0,1
8,225.0,183.5,294.5,44.99,129.9899902,110.0,,1,45.78,0,0
18,135.0,55.5,1171.5,76.6925,199.9899902,211.36,,2,122.07,2,1
7,206.0,-643.0,885.0,67.1275,149.9899902,346.5,,1,93.86,2,1
13,382.0,0.0,383.0,46.66,199.9899902,202.58,,2,69.92,0,1
16,428.0,138.5,570.5,49.99,9.989997864,159.14,,3,51.85,0,0
14,12.0,-133.0,510.0,10.0,99.98999023,219.75,,3,42.42,0,0
20,43.0,2318.0,2911.0,94.99,199.9899902,736.05,,9,202.27,0,1
9,263.0,-49.5,103.5,10.0,9.989997864,47.86,,5,13.93,0,1
19,249.0,-93.5,113.5,44.99,199.9899902,59.89,,1,34.1,0,0
11,317.0,221.75,275.25,39.99,149.9899902,127.0,,2,40.54,0,1
7,191.0,42.25,405.75,44.99,149.9899902,176.4,,1,38.75,0,1
42,1283.0,47.0,34.0,30.0,29.98999023,16.17,,2,34.04,0,1
29,453.0,-1.25,191.25,34.98,199.9899902,77.64,,3,38.2,0,0
10,290.0,42.25,182.75,44.99,149.9899902,54.75,,2,35.46,0,0
26,788.0,-10.5,24.5,29.99,29.98999023,10.0,,4,33.56,0,1
10,286.0,-11.25,41.25,39.99,199.9899902,30.89,,1,36.47,0,0
12,372.0,-0.25,0.25,10.0,149.9899902,31.64,,2,14.48,0,1
24,723.0,-4.25,47.25,39.99,29.98999023,7.0,,1,21.03,0,1
22,219.0,199.0,537.0,32.49,199.9899902,234.33,,2,83.87,0,1
25,744.0,-44.75,173.75,30.0,79.98999023,49.46,,1,31.02,0,1
21,202.0,-25.75,533.75,56.365,149.9899902,152.75,,2,77.89,0,0
26,117.0,-443.75,1243.75,59.99,149.9899902,242.07,,1,52.56,2,0
15,430.0,-30.25,378.25,10.0,149.9899902,138.62,,2,22.37,0,1
12,158.0,86.0,163.0,29.99,9.989997864,56.4,,4,39.13,0,0
6,193.0,-167.5,612.5,44.99,99.98999023,94.8,,1,51.65,0,0
20,616.0,160.0,142.0,37.53,59.98999023,50.16,,1,31.33,0,0
16,355.0,110.5,1080.5,94.99,29.98999023,161.4,,1,133.69,2,0
13,379.0,-6.25,61.25,10.0,29.98999023,10.83,,5,10.08,0,1
15,184.0,-225.25,938.25,44.99,99.98999023,284.86,,1,64.41,2,1
31,527.0,260.25,717.75,24.99,29.98999023,230.43,,2,33.69,0,1
20,207.0,-451.0,1643.0,10.0,149.9899902,276.32,,4,44.14,2,0
13,399.0,0.0,1282.666667,49.99333333,199.9899902,410.83,,1,99.38,2,1
18,27.0,78.5,901.5,59.99,199.9899902,196.47,,1,63.13,0,1
11,41.0,-56.0,1142.0,59.99,129.9899902,294.9,,1,65.72,2,1
23,192.0,40.5,168.5,68.32,99.98999023,47.46,,3,74.7,0,1
12,378.0,181.5,223.5,10.0,149.9899902,128.73,,2,16.67,0,1
8,239.0,-623.25,623.25,32.5375,149.9899902,180.29,,1,74.52,2,1
18,490.0,269.25,856.75,49.99,129.9899902,179.65,,2,51.55,0,1
26,252.0,223.5,2799.5,94.99,29.98999023,222.75,,3,121.66,2,1
15,239.0,-128.5,669.5,44.99,79.98999023,189.93,,1,61.68,0,1
13,376.0,-183.25,206.25,44.9925,79.98999023,46.58,,2,46.82,0,1
13,306.0,-377.5,390.5,48.4075,129.9899902,285.67,,1,42.91,2,1
13,407.0,10.5,17.5,10.0,29.98999023,70.75,,1,24.38,0,1
14,187.0,-95.25,463.25,49.99,99.98999023,152.69,,3,64.32,0,1
15,317.0,21.25,609.75,47.49,79.98999023,244.23,,1,73.06,0,1
28,847.0,0.0,0.0,0.0,9.989997864,180.57,,2,82.3,0,1
9,283.0,-9.5,27.5,39.99,59.98999023,5.75,,1,33.53,0,1
21,347.0,-115.75,240.75,24.3675,29.98999023,145.3,,2,37.53,0,0
18,535.0,-102.5,216.5,50.0,149.9899902,129.35,,1,51.25,0,0
17,506.0,-136.75,450.75,59.99,149.9899902,157.5,,1,57.56,0,0
14,398.0,108.25,460.75,44.99,99.98999023,96.17,,1,46.81,0,0
33,478.0,-14.75,407.75,70.15,149.9899902,168.87,,2,62.99,0,0
24,359.0,-259.75,519.75,44.5325,59.98999023,167.41,,2,46.03,0,1
20,461.0,-61.0,110.0,69.99,149.9899902,62.89,,2,53.3,0,0
22,233.0,-51.75,676.75,49.99,199.9899902,103.0,,1,54.06,0,0
17,7.0,346.0,643.0,44.99,199.9899902,106.75,,1,51.33,0,0
18,62.0,275.75,670.25,84.99,99.98999023,220.88,,1,105.71,0,0
13,385.0,257.75,512.25,59.99,99.98999023,170.17,,3,54.9,0,1
8,126.0,-260.75,354.75,49.99,99.98999023,200.67,,1,47.22,0,0
13,40.0,-43.75,305.75,47.5725,99.98999023,88.5,,2,41.65,0,1
14,423.0,14.25,469.75,39.99,29.98999023,150.38,,1,31.49,0,1
12,12.0,109.0,2018.0,59.99,99.98999023,487.91,,1,83.21,2,0
12,362.0,-119.0,388.0,30.0,29.98999023,178.6,,2,58.22,0,1
17,31.0,-161.25,2159.25,84.99,79.98999023,425.75,,1,107.38,2,0
12,338.0,-37.25,119.25,44.99,79.98999023,95.36,,1,35.41,0,1
22,522.0,205.75,1114.25,59.98,9.989997864,495.29,,1,128.73,2,0
12,346.0,-212.25,335.25,33.7425,9.989997864,180.64,,3,39.31,0,0
12,361.0,-78.0,260.0,10.0,149.9899902,182.1,,3,11.3,0,0
12,83.0,13.75,266.25,44.99,79.98999023,111.55,,1,38.29,0,0
12,370.0,-33.25,1278.25,84.99,29.98999023,333.91,,1,167.31,2,1
16,484.0,-20.25,28.25,47.99,149.9899902,23.53,,1,160.79,0,1
19,573.0,-90.0,200.0,30.0,149.9899902,16.56,,1,32.38,0,0
25,741.0,-38.0,400.0,30.0,9.989997864,157.42,,2,42.99,0,1
12,341.0,-7.25,456.25,54.99,149.9899902,203.82,,1,58.03,0,0
25,731.0,1.5,0.5,16.99,29.98999023,0.17,,1,17.07,0,0
17,519.0,-78.5,101.5,32.49,149.9899902,109.5,,2,37.24,0,1
14,397.0,82.0,174.0,10.0,79.98999023,44.83,,2,10.24,0,0
22,655.0,-64.5,136.5,36.6475,149.9899902,147.38,,1,44.36,0,1
16,200.0,-313.5,595.5,59.99,149.9899902,643.07,,1,88.49,2,0
11,126.0,-353.5,1218.5,59.99,149.9899902,632.4,,1,121.49,2,0
10,154.0,-27.75,981.75,59.99,129.9899902,539.11,,4,71.74,2,1
18,370.0,47.0,1411.0,69.99,199.9899902,508.19,,1,66.62,2,1
34,375.0,3.75,2.25,24.99,129.9899902,5.67,,1,25.27,0,1
16,459.0,-14.75,14.75,10.0,29.98999023,5.71,,5,12.0,0,1
13,382.0,-61.5,328.5,39.99,399.9899902,55.92,,1,30.34,0,0
10,164.0,140.0,1797.0,59.99,59.98999023,456.11,,1,64.99,2,0
11,320.0,-161.5,360.5,79.99,129.9899902,276.3,,1,71.33,2,1
23,704.0,-45.75,93.75,29.99,9.989997864,15.76,,1,29.43,0,0
12,309.0,131.75,956.25,54.99,129.9899902,221.45,,1,45.61,0,1
17,518.0,79.75,362.25,22.3325,9.989997864,196.75,,1,55.21,0,1
42,1253.0,-4.5,375.5,29.99,29.98999023,121.49,,2,60.66,0,1
14,393.0,-220.75,912.75,39.905,59.98999023,222.75,,1,51.72,0,1
27,299.0,-61.0,552.0,72.99,199.9899902,75.46,,1,62.38,0,0
28,847.0,139.0,1010.0,44.99,79.98999023,296.81,,1,55.61,0,0
9,262.0,-237.5,1062.5,60.15,59.98999023,280.38,,1,88.18,2,1
23,496.0,0.0,0.0,0.0,149.9899902,247.07,,1,119.16,0,0
32,966.0,48.25,279.75,34.99,29.98999023,56.61,,1,28.93,0,1
9,266.0,0.25,297.75,54.99,149.9899902,213.38,,1,50.2,0,0
18,81.0,292.5,137.5,16.935,149.9899902,72.87,,1,45.59,0,0
16,97.0,256.75,674.25,64.505,129.9899902,245.27,,1,73.25,0,1
9,11.0,-454.5,466.5,44.99,129.9899902,92.13,,1,50.59,2,0
15,445.0,-102.0,348.0,59.99,79.98999023,310.5,,1,57.99,0,0
23,696.0,56.25,211.75,34.98,29.98999023,134.1,,1,46.44,0,1
