mou_mean,months,change_mou,eqpdays,adjqty,totmrc_mean,rev_mean,ovrmou_mean,drop_blk_mean,change_rev,cluster,churn
0.0,49,0.0,203.0,25333,0.0,5.0,0.0,0.0,0.0,0,1
575.75,11,42.25,334.0,779,69.99,51.2275,0.0,2.666666667,-0.2475,0,0
471.0,10,-17.0,296.0,669,39.99,33.06,4.5,2.666666667,1.52,0,1
789.0,23,-226.0,125.0,2943,59.99,101.985,171.75,22.0,-51.995,2,1
33.0,12,42.0,362.0,137,104.99,94.99,0.0,1.0,0.0,0,1
271.5,15,-271.5,452.0,1368,49.99,40.185,0.0,11.0,-0.195,0,1
699.75,17,-473.75,522.0,2994,49.99,74.195,65.75,10.66666667,-20.615,0,1
172.75,13,-21.75,369.0,754,39.99,34.2825,0.75,5.0,0.8775,0,1
945.5,11,369.5,219.0,1481,39.99,113.8325,218.5,8.333333333,201.5675,3,1
149.75,39,7.25,28.0,4014,50.0,50.6375,1.0,5.666666667,-0.6375,0,0
876.75,11,-24.75,320.0,3260,44.99,79.45,83.75,20.0,118.08,3,1
414.5,9,138.5,271.0,1517,10.0,10.7425,0.0,15.66666667,-0.7425,0,1
771.25,11,257.75,328.0,1704,69.99,105.48,104.5,16.33333333,5.33,0,1
1492.75,15,-35.75,355.0,11247,69.99,106.795,88.25,65.66666667,-2.095,0,1
302.0,19,37.0,562.0,3148,44.99,36.025,0.0,82.33333333,0.135,0,0
245.0,18,-26.0,545.0,945,39.99,29.99,0.0,5.333333333,0.0,0,1
127.0,13,-15.0,374.0,899,10.0,10.0,0.0,1.333333333,0.0,0,0
484.5,14,-204.5,436.0,2338,49.99,78.2175,58.25,47.0,5.7025,0,1
298.5,7,-71.5,197.0,659,49.99,47.0475,17.0,9.0,-7.0575,0,1
734.0,27,-220.0,489.0,7748,34.98,91.455,188.25,3.666666667,-36.975,2,0
868.25,10,10.75,318.0,1209,44.99,58.7375,52.75,7.333333333,-19.7475,0,0
147.0,7,-147.0,217.0,907,40.1375,32.9525,0.0,12.0,30.5275,0,0
655.75,12,229.25,344.0,1395,59.99,66.68,39.25,6.666666667,36.49,0,1
795.5,12,-53.5,359.0,1494,59.99,52.6925,0.0,3.666666667,-1.4125,0,0
84.75,21,-42.75,615.0,799,69.99,59.99,0.0,1.333333333,0.0,0,0
92.5,21,63.5,622.0,3454,29.99,30.275,0.0,0.333333333,-0.285,0,1
107.0,15,-106.0,459.0,676,29.99,42.5325,34.5,3.333333333,-12.5425,0,1
98.75,28,31.25,833.0,666,29.99,33.24,0.0,2.0,0.0,0,1
561.0,10,524.0,29.0,1709,47.49,198.6375,77.75,63.33333333,-54.0175,2,1
324.75,15,-322.75,453.0,1102,30.0,30.0,0.0,10.0,0.0,0,1
300.25,9,359.75,274.0,581,54.99,58.1725,51.25,4.0,39.5475,0,1
2493.75,8,2075.25,257.0,2422,108.21,265.2,423.0,24.66666667,318.03,3,0
1539.0,9,-79.0,253.0,3607,64.99,112.0375,129.5,25.0,-27.4475,0,0
830.75,11,-26.75,19.0,2938,38.0375,60.2525,45.5,4.333333333,-24.2625,0,0
369.0,12,44.0,16.0,1688,50.49,72.9875,0.0,4.333333333,-27.9975,0,0
407.0,18,-65.0,546.0,2315,30.0,57.1625,49.75,15.66666667,-10.4425,0,0
329.75,15,-57.75,458.0,1844,37.4925,57.635,28.5,6.666666667,-38.645,0,0
467.5,18,31.5,349.0,2114,32.49,75.915,37.25,0.666666667,47.755,0,0
603.0,23,215.0,187.0,4817,48.9425,98.33,160.0,8.0,11.02,0,0
99.75,23,-32.75,349.0,1401,27.3225,44.0675,0.0,1.333333333,-13.8675,0,1
73.0,31,-61.0,953.0,481,16.99,36.875,51.25,1.0,-19.885,0,1
275.0,34,149.0,465.0,4440,44.99,50.77,34.75,3.333333333,38.22,0,0
1006.0,7,-393.0,203.0,2603,21.0375,35.1275,19.25,34.0,-15.8075,0,0
0.0,6,0.0,193.0,209,50.75,43.4475,0.0,0.0,6.5425,0,1
1749.25,17,386.75,510.0,5939,85.0,98.305,40.75,31.33333333,32.835,0,1
595.5,18,138.5,533.0,1053,44.99,37.98,0.0,1.0,0.0,0,1
459.0,8,-24.0,44.0,1389,54.99,79.66,76.0,3.333333333,-31.7,0,0
555.5,10,-103.5,182.0,1184,59.99,58.62,0.0,4.333333333,-0.71,0,1
14.75,13,-12.75,371.0,42,10.0,10.0,0.0,0.0,0.0,0,1
302.25,10,-75.25,300.0,1466,59.99,51.475,0.0,2.333333333,-1.485,0,0
318.25,36,-87.25,1103.0,2650,30.0,66.2,78.75,5.0,-28.45,0,1
1480.25,13,467.75,397.0,2264,74.505,137.2525,181.25,14.33333333,15.7275,0,1
723.5,13,-114.5,369.0,1988,44.99,35.7325,0.0,12.0,-0.7425,0,0
1066.75,12,571.25,351.0,4435,84.99,93.2075,0.0,0.0,-1.2475,0,0
601.5,19,173.5,80.0,2357,44.91,45.105,0.25,6.0,-5.115,0,0
962.75,27,-199.75,107.0,1156,44.9925,196.04,247.0,17.66666667,-39.87,2,1
283.25,13,-283.25,377.0,1842,25.3975,19.735,0.0,75.33333333,-68.115,2,1
106.0,46,-86.0,765.0,2196,16.99,29.7375,21.0,2.666666667,-11.7575,0,0
0.75,14,-0.75,416.0,111,10.0,14.0,0.0,0.0,0.0,0,1
258.5,27,-17.5,374.0,5005,59.99,50.83,0.0,12.0,-0.45,0,0
48.75,20,-4.75,382.0,497,10.0,16.0375,6.0,0.666666667,-6.0375,0,1
981.5,7,145.5,110.0,2323,84.99,76.0525,0.0,47.66666667,-0.0725,0,0
654.25,11,-185.25,331.0,2357,104.99,99.095,0.0,36.66666667,-0.855,0,1
90.25,38,14.75,412.0,2984,44.985,34.995,0.0,1.666666667,-4.995,0,1
296.0,37,10.0,1126.0,2220,30.0,35.15,19.0,3.666666667,-6.65,0,0
252.0,8,18.0,253.0,584,44.87,45.7925,39.25,0.0,-10.8025,0,0
590.5,11,-5.5,283.0,2250,44.99,61.18,42.75,3.333333333,-19.87,0,0
127.25,19,-57.25,583.0,982,30.0,28.755,0.0,6.333333333,-0.255,0,0
276.75,13,-7.75,373.0,1209,39.99,30.485,0.0,8.333333333,-0.495,0,1
466.25,12,164.75,353.0,822,44.99,45.0525,28.75,1.333333333,30.1875,0,0
491.5,15,-1.5,462.0,1840,29.99,34.12,1.75,11.0,2.11,0,1
496.25,13,-80.25,374.0,1801,44.99,40.2425,13.25,4.666666667,-3.2725,0,0
599.75,6,-342.75,195.0,1531,57.04,76.4025,58.75,11.66666667,-15.4225,0,0
917.0,12,556.0,346.0,5869,59.99,63.1,19.75,13.33333333,23.44,0,1
187.75,7,-187.75,197.0,246,44.9925,37.74,0.0,7.666666667,-37.74,0,1
345.25,11,63.75,310.0,860,44.99,35.2375,0.0,5.0,-0.2475,0,1
641.75,10,7.25,314.0,1699,44.99,61.39,66.0,0.0,-22.0,0,0
76.5,34,-36.5,435.0,1880,49.99,49.99,0.0,0.0,0.0,0,1
195.25,23,2.75,276.0,2494,44.99,38.24,0.0,2.333333333,0.0,0,1
2263.25,8,462.75,45.0,1873,98.325,205.015,289.0,17.0,-16.485,0,0
627.75,17,-240.75,495.0,2252,49.99,40.485,0.0,12.33333333,-0.495,0,1
2060.75,11,47.25,327.0,3292,69.99,156.1525,249.0,21.33333333,5.4375,0,0
578.75,20,84.25,598.0,3718,32.49,58.4325,26.75,9.0,28.1475,0,0
26.25,49,4.75,670.0,25395,30.0,33.52,0.0,0.0,-0.27,0,0
43.5,12,-43.5,361.0,738,13.8675,10.75,0.0,1.666666667,-10.75,0,0
40.25,19,-2.25,564.0,224,32.49,33.275,0.0,0.666666667,-0.785,0,0
555.75,11,436.25,343.0,2532,39.99,66.62,97.5,0.0,43.17,0,1
174.5,12,-45.5,21.0,1311,42.53,47.3675,5.25,0.0,-3.5875,0,0
908.75,7,113.25,201.0,1898,59.99,53.99,0.0,12.66666667,0.0,0,0
522.75,36,185.25,364.0,3806,69.99,62.39,8.0,1.0,7.2,0,0
653.0,14,677.0,398.0,1391,39.99,136.1325,206.0,14.33333333,188.0175,3,0
243.5,9,89.5,275.0,633,41.78,32.785,0.0,0.0,-0.805,0,0
107.25,8,49.75,220.0,428,44.99,39.335,0.25,1.666666667,-0.345,0,0
1721.75,7,1113.25,7.0,2346,59.99,166.875,270.75,32.66666667,34.695,3,1
456.0,20,-241.0,578.0,4482,59.99,56.56,0.0,3.333333333,-3.84,0,1
1493.5,7,598.5,141.0,1676,59.99,86.1875,90.5,60.33333333,46.6025,3,0
163.25,24,-35.25,434.0,4907,30.0,30.72,0.0,0.666666667,-0.72,0,0
330.75,15,1.25,457.0,1944,49.99,54.175,9.75,5.666666667,-4.185,0,1
350.75,22,85.25,655.0,3864,75.0,77.97,0.0,5.0,1.98,0,1
1513.5,50,273.5,331.0,36172,80.0,99.605,0.0,24.0,-15.755,0,0
10.0,50,3.0,681.0,1700,29.99,29.99,0.0,0.0,0.0,0,0
37.25,13,111.75,374.0,1319,44.99,34.99,0.0,0.0,0.0,0,0
23.75,16,21.25,467.0,103,39.99,31.43,0.0,1.0,-1.44,0,1
360.25,7,-163.25,205.0,1485,52.7,59.8875,45.5,8.0,-5.8975,0,0
821.5,10,-262.5,317.0,2234,42.99,59.4525,37.25,0.0,-23.3825,0,1
491.0,13,20.0,130.0,2062,49.99,54.605,0.0,10.0,-0.375,0,0
77.25,17,93.75,513.0,370,59.99,50.98,0.0,1.666666667,0.99,0,0
1678.5,14,-345.5,431.0,6762,63.1375,197.085,503.0,19.66666667,-118.205,2,1
762.75,7,70.25,197.0,868,119.99,113.3575,0.0,11.33333333,1.1925,0,1
509.0,15,-166.0,107.0,2382,44.99,77.88,83.0,6.0,-39.57,0,1
2823.0,16,79.0,492.0,9856,219.99,311.7325,158.75,48.0,5.6075,0,1
181.5,7,-29.5,216.0,561,15.0025,89.345,59.5,1.333333333,32.365,0,1
13.75,16,2.25,483.0,318,39.99,33.99,0.0,0.0,0.0,0,1
124.5,17,-1.5,524.0,1264,32.49,36.1275,0.0,9.333333333,-0.3875,0,1
805.75,35,464.25,76.0,7366,84.99,101.96,98.5,63.33333333,66.0,3,1
149.0,21,230.0,628.0,782,30.0,32.45,7.0,3.0,7.35,0,0
1587.75,12,-186.75,356.0,8488,69.99,85.025,78.5,0.0,-3.735,0,1
294.0,17,-70.0,526.0,1258,45.0,46.8,0.0,17.0,-0.81,0,0
874.0,19,-24.0,472.0,3683,48.9425,93.665,119.25,8.0,-37.685,0,0
145.5,24,12.5,736.0,4379,34.98,35.475,0.0,2.666666667,-0.495,0,0
1388.5,6,339.5,70.0,3529,69.4075,118.7575,94.25,50.66666667,-44.2675,2,0
112.5,24,7.5,725.0,493,30.0,35.2625,5.75,1.333333333,-2.0125,0,1
1672.5,14,-901.5,128.0,6134,75.0,126.2475,86.5,27.33333333,-50.1075,2,1
581.5,10,-101.5,292.0,1798,59.99,50.78,0.25,5.0,-0.79,0,0
236.75,14,39.25,425.0,691,59.99,50.44,0.0,8.666666667,-0.45,0,0
853.25,7,240.75,205.0,2145,59.99,145.32,224.75,9.333333333,73.75,3,1
975.0,16,285.0,90.0,4061,39.905,45.5025,4.0,64.66666667,-1.5125,0,0
211.5,17,-21.5,102.0,260,40.0,32.2425,5.75,0.333333333,-2.2425,0,0
1080.25,8,196.75,188.0,891,49.99,39.99,0.0,6.0,0.0,0,0
248.75,33,188.25,619.0,6534,50.0,51.44,0.0,3.0,2.52,0,0
458.0,22,-185.0,315.0,7625,44.99,35.2375,0.0,8.0,-0.2475,0,1
803.5,10,17.5,143.0,4773,59.99,59.9375,0.0,20.66666667,-0.9575,0,1
510.75,11,87.25,309.0,1673,44.99,38.665,10.5,31.66666667,-3.675,0,1
2011.25,12,-169.25,86.0,7142,81.2825,142.3775,173.5,154.0,-45.7675,2,0
67.5,17,-11.5,403.0,686,30.0,30.9675,0.0,1.333333333,-0.9675,0,0
381.0,14,161.0,389.0,1390,44.99,40.3275,15.25,8.333333333,16.0125,0,1
381.25,24,90.75,741.0,3569,44.99,34.99,0.0,5.0,0.0,0,0
749.0,39,253.0,123.0,2655,44.99,44.185,16.5,10.0,2.705,0,1
2245.5,19,-741.5,31.0,9494,84.99,94.31,6.5,26.66666667,-16.35,0,0
556.75,19,-19.75,575.0,1848,54.99,67.74,34.0,8.0,8.92,0,0
333.5,14,-103.5,215.0,2243,29.99,42.6775,18.0,6.0,-12.6875,0,1
64.5,30,-0.5,909.0,395,32.49,35.115,0.0,0.666666667,0.675,0,0
257.0,31,-175.0,108.0,2894,21.7675,91.49,167.5,3.0,-75.68,2,0
203.75,15,7.25,446.0,1484,39.99,33.6725,0.0,0.0,-3.6825,0,0
296.25,28,-83.25,340.0,4566,61.98,55.9225,0.0,9.0,-3.2425,0,1
269.0,12,-229.0,360.0,298,10.0,10.0,0.0,2.333333333,0.0,0,1
256.75,12,-126.75,363.0,883,29.99,70.15,89.75,3.0,-33.94,0,1
128.5,19,-103.5,563.0,1094,29.99,30.4575,0.5,3.333333333,-0.4675,0,1
49.5,18,63.5,545.0,470,34.98,34.1575,0.0,1.0,0.8225,0,0
13.0,50,14.0,1505.0,551,24.9,24.9,0.0,0.333333333,0.0,0,0
164.75,23,-113.75,335.0,895,29.99,48.4525,52.75,1.333333333,-18.4625,0,1
396.25,19,50.75,589.0,1383,49.9975,52.0525,0.0,6.333333333,-1.2225,0,0
262.0,23,-52.0,638.0,1318,32.49,33.875,2.0,5.0,-1.385,0,0
495.0,36,-29.0,689.0,6401,94.99,88.2275,0.0,5.666666667,-0.2475,0,1
294.5,8,183.5,225.0,770,44.99,35.7975,0.75,4.0,-0.0275,0,0
1171.5,18,55.5,135.0,2959,76.6925,153.425,226.25,22.33333333,-68.985,2,1
885.0,7,-643.0,206.0,2079,67.1275,69.3475,25.75,17.33333333,-35.3575,0,1
383.0,13,0.0,382.0,2431,46.66,61.69333333,72.33333333,20.0,0.0,0,1
570.5,16,138.5,428.0,2228,49.99,64.1125,44.75,6.0,31.4775,0,0
510.0,14,-133.0,12.0,2637,10.0,13.69,12.5,24.33333333,-0.72,0,0
2911.0,20,2318.0,43.0,13985,94.99,286.3075,667.5,42.0,326.3925,3,1
103.5,9,-49.5,263.0,335,10.0,12.175,6.0,6.666666667,4.225,0,1
113.5,19,-93.5,249.0,1078,44.99,35.5525,0.0,1.666666667,-0.5625,0,0
275.25,11,221.75,317.0,1143,39.99,36.3075,28.5,7.666666667,14.8725,0,1
405.75,7,42.25,191.0,882,44.99,38.95,6.0,2.333333333,-1.98,0,1
34.0,42,47.0,1283.0,485,30.0,36.5425,0.0,0.333333333,-1.1925,0,1
191.25,29,-1.25,453.0,2174,34.98,35.82,0.0,4.0,1.14,0,0
182.75,10,42.25,290.0,438,44.99,35.14,0.0,1.0,-0.15,0,0
24.5,26,-10.5,788.0,240,29.99,31.5425,0.0,0.0,-1.5525,0,1
41.25,10,-11.25,286.0,278,39.99,33.99,0.0,0.666666667,0.0,0,0
0.25,12,-0.25,372.0,348,10.0,10.09,0.0,0.333333333,-0.09,0,1
47.25,24,-4.25,723.0,154,39.99,42.9825,0.0,0.0,2.9475,0,1
537.0,22,199.0,219.0,4921,32.49,153.74,34.75,0.666666667,21.02,0,1
173.75,25,-44.75,744.0,1187,30.0,31.2375,0.0,4.666666667,-1.2375,0,1
533.75,21,-25.75,202.0,1833,56.365,78.535,85.0,6.333333333,-28.545,0,0
1243.75,26,-443.75,117.0,3631,59.99,62.6825,19.0,85.0,-12.6925,0,0
378.25,15,-30.25,430.0,1802,10.0,14.0,0.0,0.0,0.0,0,1
163.0,12,86.0,158.0,564,29.99,34.7425,2.25,2.333333333,11.1975,0,0
612.5,6,-167.5,193.0,474,44.99,60.2175,61.25,6.666666667,-16.8875,0,0
142.0,20,160.0,616.0,953,37.53,30.895,2.5,1.0,0.595,0,0
1080.5,16,110.5,355.0,2421,94.99,94.275,18.75,13.33333333,-5.325,0,0
61.25,13,-6.25,379.0,130,10.0,10.0,0.0,0.666666667,0.0,0,1
938.25,15,-225.25,184.0,3988,44.99,97.8875,157.25,30.0,-18.3275,0,1
717.75,31,260.25,527.0,6913,24.99,46.37,54.5,21.66666667,31.16,0,1
1643.0,20,-451.0,207.0,5250,10.0,42.86,123.5,140.0,-15.61,2,0
1282.666667,13,0.0,399.0,4930,49.99333333,116.6066667,259.3333333,9.333333333,0.0,0,1
901.5,18,78.5,27.0,3340,59.99,95.44,105.5,15.33333333,61.8,3,1
1142.0,11,-56.0,41.0,2949,59.99,55.2875,3.5,18.66666667,1.1025,0,1
168.5,23,40.5,192.0,617,68.32,89.1475,12.5,4.333333333,80.7025,3,1
223.5,12,181.5,378.0,1416,10.0,15.58,14.25,49.0,14.4,0,1
623.25,8,-623.25,239.0,1262,32.5375,35.8775,37.0,4.333333333,-70.6975,2,1
856.75,18,269.25,490.0,3054,49.99,50.375,23.5,10.33333333,-7.415,0,1
2799.5,26,223.5,252.0,5346,94.99,153.785,221.75,34.66666667,46.605,3,1
669.5,15,-128.5,239.0,2659,44.99,57.495,51.5,6.333333333,-15.355,0,1
206.25,13,-183.25,376.0,559,44.9925,24.995,0.0,2.666666667,-24.995,0,1
390.5,13,-377.5,306.0,3428,48.4075,43.21,1.25,16.66666667,-4.22,0,1
17.5,13,10.5,407.0,849,10.0,10.2475,0.0,2.0,-0.2475,0,1
463.25,14,-95.25,187.0,1985,49.99,60.005,85.75,6.666666667,-20.015,0,1
609.75,15,21.25,317.0,3175,47.49,47.23,0.0,5.666666667,1.92,0,1
0.0,28,0.0,847.0,1264,0.0,5.0,0.0,0.0,0.0,0,1
27.5,9,-9.5,283.0,46,39.99,34.29,0.0,0.0,0.9,0,1
240.75,21,-115.75,347.0,2906,24.3675,28.7625,15.0,3.0,-28.7625,0,0
216.5,18,-102.5,535.0,2199,50.0,50.945,0.0,8.0,0.045,0,0
450.75,17,-136.75,506.0,2520,59.99,51.3875,0.0,6.0,-1.3975,0,0
460.75,14,108.25,398.0,1154,44.99,36.0375,0.0,4.0,-1.0475,0,0
407.75,33,-14.75,478.0,5066,70.15,82.785,58.5,6.0,-21.805,0,0
519.75,24,-259.75,359.0,3683,44.5325,73.74,76.5,11.0,-29.86,0,1
110.0,20,-61.0,461.0,1195,69.99,63.24,0.0,7.0,0.0,0,0
676.75,22,-51.75,233.0,2163,49.99,55.7875,30.75,9.333333333,-11.7475,0,0
643.0,17,346.0,7.0,1708,44.99,28.8375,0.25,4.0,-18.4575,0,0
670.25,18,275.75,62.0,3755,84.99,76.795,1.25,10.66666667,0.255,0,0
512.25,13,257.75,385.0,2042,59.99,50.335,0.25,11.66666667,0.645,0,1
354.75,8,-260.75,126.0,1204,49.99,47.255,0.5,6.333333333,5.935,0,0
305.75,13,-43.75,40.0,1062,47.5725,50.89,0.25,38.66666667,-5.91,0,1
469.75,14,14.25,423.0,1955,39.99,33.84,11.0,9.0,5.95,0,1
2018.0,12,109.0,12.0,5367,59.99,173.9625,221.0,24.66666667,120.7575,3,0
388.0,12,-119.0,362.0,1786,30.0,48.8975,40.25,21.33333333,-15.6275,0,1
2159.25,17,-161.25,31.0,6812,84.99,133.49,157.0,26.33333333,-7.03,0,0
119.25,12,-37.25,338.0,1049,44.99,34.99,0.0,7.0,0.0,0,1
1114.25,22,205.75,522.0,10401,59.98,80.035,23.0,12.33333333,24.375,0,0
335.25,12,-212.25,346.0,1987,33.7425,33.1425,17.25,32.33333333,-33.1425,0,0
260.0,12,-78.0,361.0,1821,10.0,11.485,0.0,9.0,1.485,0,0
266.25,12,13.75,83.0,1227,44.99,35.185,0.0,14.0,-0.195,0,0
